h,eL2,eH1
0.25,0.000878621,0.0230059
0.125,0.000110762,0.00575703
0.0625,1.38745e-05,0.00143957
0.03125,1.73522e-06,0.000359912
0.015625,2.16931e-07,8.99793e-05
