Degree,Level,Avg_IPC,L1_Miss_Rate_Perc,LLC_Miss_Rate_Perc,Avg_Cycles,Avg_L1_Misses,Avg_LLC_Misses,Total_Mem_GB
2,4,1.528,6.91,7.78,782850951,32124080,4313080,1.2365
3,4,1.923,4.56,7.73,1225643869,42277629,5267795,1.2677
4,4,2.470,3.71,5.34,1755226339,65881291,6311947,1.3567
5,4,2.657,3.46,4.18,4665123477,201292084,13342149,1.5026
6,4,2.646,4.57,2.65,9235406311,511020899,20275838,1.7004
